Variable,Model,Detail,Sampling,Accuracy,F1_low,F1_high,Precision_low,Recall_low,Precision_high,Recall_high
lights vs gdp per capita,logistic ridge regression,Features standardised,no sampling,0.896882494004796,0.945362134688691,0.0851063829787234,0.900726392251816,0.994652406417112,0.5,0.0465116279069768
lights vs gdp per capita,logistic ridge regression,Features standardised,down,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic ridge regression,Features standardised,up,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic ridge regression,Features standardised,smote,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic lasso regression,Features standardised,no sampling,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic lasso regression,Features standardised,down,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic lasso regression,Features standardised,up,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic lasso regression,Features standardised,smote,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic ridge regression,Features level,no sampling,0.906474820143885,0.949935815147625,0.290909090909091,0.91358024691358,0.989304812834225,0.666666666666667,0.186046511627907
lights vs gdp per capita,logistic ridge regression,Features level,down,0.911270983213429,0.952380952380952,0.350877192982456,0.918114143920596,0.989304812834225,0.714285714285714,0.232558139534884
lights vs gdp per capita,logistic ridge regression,Features level,up,0.911270983213429,0.952380952380952,0.350877192982456,0.918114143920596,0.989304812834225,0.714285714285714,0.232558139534884
lights vs gdp per capita,logistic ridge regression,Features level,smote,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic lasso regression,Features level,no sampling,0.88968824940048,0.94147582697201,0.0416666666666667,0.898058252427185,0.989304812834225,0.2,0.0232558139534884
lights vs gdp per capita,logistic lasso regression,Features level,down,0.896882494004796,0.945083014048531,0.156862745098039,0.904645476772616,0.989304812834225,0.5,0.0930232558139535
lights vs gdp per capita,logistic lasso regression,Features level,up,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
lights vs gdp per capita,logistic lasso regression,Features level,smote,0.892086330935252,0.94296577946768,,0.896385542168675,0.994652406417112,0,0
lights vs gdp per capita,Decision Tree,Features standardised,no sampling,0.916067146282974,0.954486345903771,0.461538461538462,0.929113924050633,0.981283422459893,0.681818181818182,0.348837209302326
lights vs gdp per capita,Decision Tree,Features standardised,down,0.810551558752998,0.888575458392102,0.368,0.940298507462687,0.842245989304813,0.280487804878049,0.534883720930233
lights vs gdp per capita,Decision Tree,Features standardised,up,0.805755395683453,0.884779516358464,0.381679389312977,0.945288753799392,0.831550802139038,0.284090909090909,0.581395348837209
lights vs gdp per capita,Decision Tree,Features standardised,smote,0.820143884892086,0.895688456189152,0.347826086956522,0.933333333333333,0.86096256684492,0.277777777777778,0.465116279069768
lights vs gdp per capita,Gradient Boosting,Features standardised,no sampling,0.918465227817746,0.955729166666667,0.484848484848485,0.931472081218274,0.981283422459893,0.695652173913044,0.372093023255814
lights vs gdp per capita,Gradient Boosting,Features standardised,down,0.774580335731415,0.863372093023256,0.356164383561644,0.945859872611465,0.794117647058824,0.252427184466019,0.604651162790698
lights vs gdp per capita,Gradient Boosting,Features standardised,up,0.875299760191847,0.93010752688172,0.422222222222222,0.935135135135135,0.925133689839572,0.404255319148936,0.441860465116279
lights vs gdp per capita,Gradient Boosting,Features standardised,smote,0.829736211031175,0.900976290097629,0.393162393162393,0.941690962099125,0.863636363636364,0.310810810810811,0.534883720930233
lights vs gdp per capita,Decision Tree,Features level,no sampling,0.916067146282974,0.954486345903771,0.461538461538462,0.929113924050633,0.981283422459893,0.681818181818182,0.348837209302326
lights vs gdp per capita,Decision Tree,Features level,down,0.827338129496403,0.899441340782123,0.389830508474576,0.941520467836257,0.86096256684492,0.306666666666667,0.534883720930233
lights vs gdp per capita,Decision Tree,Features level,up,0.820143884892086,0.895977808599168,0.336283185840708,0.930835734870317,0.863636363636364,0.271428571428571,0.441860465116279
lights vs gdp per capita,Decision Tree,Features level,smote,0.808153477218225,0.886685552407932,0.375,0.942771084337349,0.836898395721925,0.282352941176471,0.558139534883721
lights vs gdp per capita,Gradient Boosting,Features level,no sampling,0.918465227817746,0.955844155844156,0.46875,0.929292929292929,0.983957219251337,0.714285714285714,0.348837209302326
lights vs gdp per capita,Gradient Boosting,Features level,down,0.776978417266187,0.863836017569546,0.384105960264901,0.954692556634304,0.788770053475936,0.268518518518519,0.674418604651163
lights vs gdp per capita,Gradient Boosting,Features level,up,0.870503597122302,0.927613941018767,0.386363636363636,0.93010752688172,0.925133689839572,0.377777777777778,0.395348837209302
lights vs gdp per capita,Gradient Boosting,Features level,smote,0.827338129496403,0.898591549295775,0.419354838709677,0.949404761904762,0.852941176470588,0.320987654320988,0.604651162790698
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,no sampling,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,down,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,up,0.896882494004796,0.945638432364096,,0.896882494004796,1,,0
