Variable,Model,Detail,Sampling,Accuracy,F1_low,F1_high,Precision_low,Recall_low,Precision_high,Recall_high
lights vs gdp per capita,logistic ridge regression,Features standardised,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features standardised,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features standardised,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features standardised,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features standardised,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features standardised,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features standardised,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features standardised,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features level,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features level,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features level,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic ridge regression,Features level,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features level,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features level,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features level,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,logistic lasso regression,Features level,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,Decision Tree,Features standardised,no sampling,0.939516129032258,,0.968814968814969,0,0,0.945233265720081,0.993603411513859
lights vs gdp per capita,Decision Tree,Features standardised,down,0.536290322580645,0.1015625,0.6875,0.0567685589519651,0.481481481481482,0.947565543071161,0.539445628997868
lights vs gdp per capita,Decision Tree,Features standardised,up,0.850806451612903,0.075,0.918859649122807,0.0566037735849057,0.111111111111111,0.945823927765237,0.893390191897655
lights vs gdp per capita,Decision Tree,Features standardised,smote,0.63508064516129,0.117073170731707,0.770012706480305,0.0674157303370787,0.444444444444444,0.952830188679245,0.646055437100213
lights vs gdp per capita,Gradient Boosting,Features standardised,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,Gradient Boosting,Features standardised,down,0.544354838709677,0.0813008130081301,0.697050938337802,0.045662100456621,0.37037037037037,0.938628158844765,0.554371002132196
lights vs gdp per capita,Gradient Boosting,Features standardised,up,0.919354838709677,,0.957983193277311,0,0,0.944099378881988,0.97228144989339
lights vs gdp per capita,Gradient Boosting,Features standardised,smote,0.745967741935484,0.0454545454545455,0.853488372093023,0.0285714285714286,0.111111111111111,0.938618925831202,0.782515991471215
lights vs gdp per capita,Decision Tree,Features level,no sampling,0.939516129032258,,0.968814968814969,0,0,0.945233265720081,0.993603411513859
lights vs gdp per capita,Decision Tree,Features level,down,0.48991935483871,0.0931899641577061,0.645161290322581,0.0515873015873016,0.481481481481482,0.942622950819672,0.490405117270789
lights vs gdp per capita,Decision Tree,Features level,up,0.86491935483871,0.0821917808219178,0.927094668117519,0.0652173913043478,0.111111111111111,0.946666666666667,0.908315565031983
lights vs gdp per capita,Decision Tree,Features level,smote,0.604838709677419,0.0841121495327103,0.748071979434447,0.0481283422459893,0.333333333333333,0.941747572815534,0.62046908315565
lights vs gdp per capita,Gradient Boosting,Features level,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
lights vs gdp per capita,Gradient Boosting,Features level,down,0.532258064516129,0.09375,0.684782608695652,0.0524017467248908,0.444444444444444,0.943820224719101,0.537313432835821
lights vs gdp per capita,Gradient Boosting,Features level,up,0.917338709677419,0.0888888888888889,0.956705385427666,0.111111111111111,0.0740740740740741,0.947698744769875,0.965884861407249
lights vs gdp per capita,Gradient Boosting,Features level,smote,0.741935483870968,0.0447761194029851,0.850815850815851,0.0280373831775701,0.111111111111111,0.938303341902314,0.778251599147122
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features standardised,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features standardised,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features standardised,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features standardised,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features standardised,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features level,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features level,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features level,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic ridge regression,Features level,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features level,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features level,down,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features level,up,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,logistic lasso regression,Features level,smote,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,Decision Tree,Features standardised,no sampling,0.939516129032258,,0.968814968814969,0,0,0.945233265720081,0.993603411513859
Images basic features vs gdp per capita,Decision Tree,Features standardised,down,0.548387096774194,0.118110236220472,0.696476964769648,0.066079295154185,0.555555555555556,0.955390334572491,0.547974413646056
Images basic features vs gdp per capita,Decision Tree,Features standardised,up,0.862903225806452,0.0285714285714286,0.926247288503254,0.0232558139534884,0.037037037037037,0.942604856512141,0.91044776119403
Images basic features vs gdp per capita,Decision Tree,Features standardised,smote,0.6875,0.104046242774566,0.810744810744811,0.0616438356164384,0.333333333333333,0.948571428571429,0.707889125799574
Images basic features vs gdp per capita,Gradient Boosting,Features standardised,no sampling,0.945564516129032,,0.972020725388601,,0,0.945564516129032,1
Images basic features vs gdp per capita,Gradient Boosting,Features standardised,down,0.612903225806452,0.150442477876106,0.74934725848564,0.085427135678392,0.62962962962963,0.966329966329966,0.611940298507463
Images basic features vs gdp per capita,Gradient Boosting,Features standardised,up,0.935483870967742,0.0588235294117647,0.966597077244259,0.142857142857143,0.037037037037037,0.946830265848671,0.987206823027719
Images basic features vs gdp per capita,Gradient Boosting,Features standardised,smote,0.788306451612903,0.16,0.878892733564014,0.102040816326531,0.37037037037037,0.957286432160804,0.812366737739872
Images basic features vs gdp per capita,Decision Tree,Features level,no sampling,0.939516129032258,,0.968814968814969,0,0,0.945233265720081,0.993603411513859
Images basic features vs gdp per capita,Decision Tree,Features level,down,0.526209677419355,0.113207547169811,0.676753782668501,0.0630252100840336,0.555555555555556,0.953488372093023,0.52452025586354
